Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10601293,2,"Friday, November 16, 2012 10:18:34 UTC",51.3598,-175.9500,2.5,21.00,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10601283,1,"Friday, November 16, 2012 09:51:21 UTC",60.0489,-152.8433,3.3,111.40,67,"Southern Alaska"
nc,71887461,0,"Friday, November 16, 2012 09:39:46 UTC",37.9795,-118.6995,1.7,6.80, 8,"Central California"
ci,15245977,0,"Friday, November 16, 2012 09:37:20 UTC",33.0182,-116.3165,1.2,8.50,43,"Southern California"
uw,60475187,2,"Friday, November 16, 2012 09:30:55 UTC",46.1340,-122.1697,1.1,6.30,28,"Mount St. Helens area, Washington"
uu,60005137,2,"Friday, November 16, 2012 09:28:49 UTC",42.4175,-111.1427,1.3,2.20,12,"southern Idaho"
ci,15245969,0,"Friday, November 16, 2012 08:52:04 UTC",34.0122,-117.2142,1.1,13.60,37,"Greater Los Angeles area, California"
us,c000dti9,A,"Friday, November 16, 2012 08:25:57 UTC",35.2311,141.0455,5.3,34.70,399,"near the east coast of Honshu, Japan"
nc,71887431,3,"Friday, November 16, 2012 08:12:35 UTC",38.8253,-122.7957,1.9,3.20,59,"Northern California"
ci,15245953,0,"Friday, November 16, 2012 08:09:55 UTC",33.2830,-116.7838,1.2,10.60,40,"Southern California"
ak,10601268,1,"Friday, November 16, 2012 07:55:23 UTC",60.9056,-146.9013,1.6,29.30,10,"Southern Alaska"
ci,15245945,0,"Friday, November 16, 2012 07:29:58 UTC",34.0065,-116.8773,1.2,14.20,55,"Southern California"
uw,60475152,2,"Friday, November 16, 2012 07:06:58 UTC",46.1377,-122.1668,1.2,6.20,18,"Mount St. Helens area, Washington"
ci,15245937,0,"Friday, November 16, 2012 07:03:26 UTC",33.5845,-116.6370,1.6,14.20,75,"Southern California"
nc,71887406,3,"Friday, November 16, 2012 06:43:28 UTC",37.3475,-119.9763,1.8,19.30,11,"Central California"
ak,10601258,1,"Friday, November 16, 2012 06:39:01 UTC",60.9305,-147.7504,1.7,16.90, 8,"Southern Alaska"
us,c000dthk,3,"Friday, November 16, 2012 06:24:42 UTC",-53.9956,-134.6819,5.3,10.10,107,"Pacific-Antarctic Ridge"
us,c000dth6,6,"Friday, November 16, 2012 06:05:41 UTC",-7.9754,-74.3300,4.3,151.90,87,"northern Peru"
nc,71887371,2,"Friday, November 16, 2012 05:36:35 UTC",37.3663,-118.5693,1.6,12.90,37,"Central California"
uu,60005102,2,"Friday, November 16, 2012 05:28:51 UTC",44.7463,-111.1308,1.2,12.60,14,"western Montana"
uw,60475137,4,"Friday, November 16, 2012 05:13:03 UTC",46.1307,-122.1673,1.9,6.10,48,"Mount St. Helens area, Washington"
ak,10601242,1,"Friday, November 16, 2012 05:12:11 UTC",62.0039,-145.1965,1.8,15.50,11,"Central Alaska"
nc,71887351,2,"Friday, November 16, 2012 04:57:09 UTC",37.6435,-118.9497,1.1,7.70,32,"Long Valley area, California"
ci,15245897,1,"Friday, November 16, 2012 04:44:36 UTC",34.7607,-117.4965,2.7,0.10,103,"Southern California"
ci,15245889,0,"Friday, November 16, 2012 04:26:33 UTC",34.0212,-116.0440,1.7,6.80,11,"Southern California"
ci,15245881,7,"Friday, November 16, 2012 04:26:05 UTC",33.9167,-117.8460,1.0,9.00,48,"Greater Los Angeles area, California"
us,c000dtgd,9,"Friday, November 16, 2012 03:58:26 UTC",38.4635,46.7171,4.9,5.20,127,"northwestern Iran"
nc,71887341,3,"Friday, November 16, 2012 03:50:43 UTC",38.8102,-122.8520,1.9,3.60,61,"Northern California"
nc,71887336,0,"Friday, November 16, 2012 03:30:23 UTC",38.8258,-122.7968,1.1,3.30,22,"Northern California"
ci,15245873,3,"Friday, November 16, 2012 03:13:34 UTC",33.2468,-115.6872,1.1,0.50,13,"Southern California"
us,c000dtg5,6,"Friday, November 16, 2012 03:04:59 UTC",13.9417,-92.4205,4.4,57.40,44,"offshore Guatemala"
ak,10601219,1,"Friday, November 16, 2012 02:50:49 UTC",64.0697,-148.9562,1.6,0.10,14,"Central Alaska"
ci,15245865,4,"Friday, November 16, 2012 02:41:20 UTC",34.3328,-116.4535,1.0,1.00,63,"Southern California"
ak,10601213,1,"Friday, November 16, 2012 02:39:03 UTC",64.0903,-152.3643,2.2,0.10, 8,"Central Alaska"
ci,15245849,3,"Friday, November 16, 2012 01:44:03 UTC",32.7188,-115.9437,1.5,9.20,62,"Southern California"
nc,71887286,3,"Friday, November 16, 2012 01:39:49 UTC",37.6647,-119.4288,1.6,16.90,51,"Central California"
ci,15245841,0,"Friday, November 16, 2012 01:20:33 UTC",32.2438,-115.3548,2.3,0.10,14,"Baja California, Mexico"
ci,15245833,5,"Friday, November 16, 2012 01:10:37 UTC",34.1453,-116.7400,1.0,9.20,54,"Southern California"
ak,10601175,1,"Friday, November 16, 2012 01:08:27 UTC",62.4894,-151.4453,1.9,115.70,13,"Central Alaska"
nc,71887246,1,"Friday, November 16, 2012 00:56:17 UTC",38.8122,-122.8107,1.2,2.90,22,"Northern California"
nc,71887241,1,"Friday, November 16, 2012 00:55:48 UTC",38.8138,-122.8193,1.7,3.30,29,"Northern California"
us,c000dten,8,"Friday, November 16, 2012 00:38:06 UTC",-21.5156,-69.4104,5.1,56.40,268,"Antofagasta, Chile"
nc,71887226,1,"Friday, November 16, 2012 00:28:15 UTC",38.8380,-122.7852,1.8,1.90,32,"Northern California"
us,c000dtef,8,"Friday, November 16, 2012 00:21:58 UTC",-13.2826,-76.4943,4.7,47.60,94,"near the coast of central Peru"
ci,15245793,3,"Friday, November 16, 2012 00:20:37 UTC",32.1795,-115.2488,1.9,10.00,19,"Baja California, Mexico"
us,c000dteb,6,"Friday, November 16, 2012 00:07:35 UTC",-25.2013,179.7711,4.4,502.80,78,"south of the Fiji Islands"
uw,60475097,2,"Friday, November 16, 2012 00:01:03 UTC",49.3377,-120.4797,2.0,0.00, 9,"British Columbia, Canada"
ci,15245777,4,"Thursday, November 15, 2012 23:50:13 UTC",34.2703,-116.9032,1.0,0.20,28,"Southern California"
ak,10600989,1,"Thursday, November 15, 2012 23:41:30 UTC",63.0583,-151.4439,1.7,4.50,13,"Central Alaska"
uw,60475077,2,"Thursday, November 15, 2012 22:32:03 UTC",45.1610,-122.5315,1.2,0.00, 7,"Oregon"
us,c000dtcj,6,"Thursday, November 15, 2012 22:19:09 UTC",-20.5184,-175.1158,4.8,35.20,57,"Tonga"
us,c000dtbz,7,"Thursday, November 15, 2012 22:10:25 UTC",-0.0266,123.4665,4.7,159.00,44,"Sulawesi, Indonesia"
uu,60005037,2,"Thursday, November 15, 2012 22:07:23 UTC",44.7323,-111.1110,1.1,10.50,13,"western Montana"
hv,60431691,2,"Thursday, November 15, 2012 21:58:17 UTC",19.4023,-155.2658,2.0,3.40,28,"Island of Hawaii, Hawaii"
us,c000dtbj,5,"Thursday, November 15, 2012 21:55:15 UTC",-16.8446,-175.0596,4.7,260.30,56,"Tonga"
ci,15245769,2,"Thursday, November 15, 2012 21:54:04 UTC",31.7757,-116.1813,2.7,10.00,21,"Baja California, Mexico"
nc,71887126,3,"Thursday, November 15, 2012 21:21:40 UTC",39.4778,-123.1178,1.5,2.60,22,"Northern California"
ci,15245745,2,"Thursday, November 15, 2012 21:03:35 UTC",34.0375,-117.0990,1.4,19.00,60,"Greater Los Angeles area, California"
nc,71887101,3,"Thursday, November 15, 2012 21:02:49 UTC",38.7590,-122.7003,2.4,0.60,62,"Northern California"
